Experiment,Experiment ID,Model,Feature set,Region,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,Delta F1 vs full,Delta PR-AUC vs full
Full CatBoost,ablation_full,CatBoost,all features,Global,0.3866930421881538,0.8211818879508825,0.5257917264745057,0.004048385807888288,0.54627891056253,0.003915456891489145,0.0,0.0
Full CatBoost,ablation_full,CatBoost,all features,Eastern Siberia,0.43778106373572767,0.9184763488662168,0.5929428282369459,0.0014751799720204705,0.6302041747524663,0.003880753966746449,0.0,0.0
Full CatBoost,ablation_full,CatBoost,all features,Far East,0.30345572354211664,0.6853658536585366,0.42065868263473055,0.0033251134286332884,0.3490091183495905,0.007318459658032298,0.0,0.0
Full CatBoost,ablation_full,CatBoost,all features,Central Asia,0.1343710860619073,0.600079904115062,0.2195745925005482,0.007330577037581582,0.15673435638012506,0.015828456774160428,0.0,0.0
Full CatBoost,ablation_full,CatBoost,all features,Europe,0.22818944029005211,0.3535814606741573,0.2773722627737226,0.0076026807475035535,0.20493888954481776,0.0033182762815813617,0.0,0.0
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Global,0.22527276925741335,0.9457325200953266,0.3638715994125463,0.0009490343827047262,0.35079560274721466,0.0034177045441915305,0.16192012706195935,0.1954833078153153
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Eastern Siberia,0.31074898785425104,0.9819298301723862,0.47209515096065874,0.002401295120987749,0.4434523379588713,0.005188672163429214,0.12084767727628715,0.18675183679359497
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Far East,0.1370379683178275,0.8861788617886179,0.23736933797909407,0.0025276058193480387,0.18818695059731258,0.00968653314383702,0.18328934465563648,0.1608221677522779
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Central Asia,0.06906824641303975,0.8058330003995205,0.12723143884438276,0.0010389658462157181,0.0692916337287443,0.0007148839438799239,0.09234315365616544,0.08744272265138076
Weather-only CatBoost,ablation_weather_only,Weather-only CatBoost,meteorology/history features only,Europe,0.09076382230744647,0.797752808988764,0.1629842180774749,6.362434965858494e-05,0.14581395180129472,0.00510590636243975,0.11438804469624772,0.05912493774352304
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Global,0.2130441354292624,0.9109342812133941,0.34532550358693237,0.0011497029084153844,0.31060983949734317,0.002969252548730986,0.1804662228875733,0.2356690710651868
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Eastern Siberia,0.31001721609385957,0.9329964499312374,0.46539305228732103,0.0031431027699493036,0.3903543520588144,0.010583236386694858,0.12754977594962486,0.23984982269365185
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Far East,0.19054002297970127,0.8089430894308943,0.30843149411035337,0.005862129884104958,0.30662564310223717,0.0009156033356464581,0.11222718852437719,0.04238347524735331
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Central Asia,0.06623406323251958,0.9256891729924092,0.12362278244631186,0.00011984299639071956,0.07281831347675709,0.001994293530513565,0.09595181005423634,0.08391604290336797
FWI-only CatBoost,ablation_fwi_only,FWI-only CatBoost,fire-weather variables only,Europe,0.07943362120907813,0.8332162921348315,0.1450400342277367,0.0021930402280250704,0.11277836660792036,0.0052109054283299705,0.13233222854598592,0.0921605229368974
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Global,0.39414676178262265,0.7945025649311306,0.5269015952103507,0.001112611397815885,0.5264652504132801,0.007850879185353581,-0.0011098687358450654,0.0198136601492499
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Eastern Siberia,0.45195615134857103,0.8992867879873349,0.6015767910056589,0.005408087376743075,0.6191896357699587,0.0028632248614176565,-0.008633962768712977,0.011014538982507593
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Far East,0.30474989491382937,0.5894308943089431,0.40177334441673596,0.004038399381366523,0.32242957696546015,0.0011895190225999603,0.018885338217994596,0.026579541384130323
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Central Asia,0.12404745828108421,0.5137834598481822,0.19984459984459985,0.006917348946390138,0.12360815780834947,0.006881702775199922,0.019729992655948353,0.033126198571775595
CatBoost no anthropogenic,ablation_no_anthropogenic,CatBoost,full minus roads/population/night lights,Europe,0.17318714178918515,0.2440308988764045,0.2025943739979595,0.009204632554186095,0.16934770822929765,0.0021430748825410424,0.07477788877576313,0.03559118131552011
CatBoost-no-ecoregion,ablation_no_ecoregion,CatBoost,full minus ecoregion categorical variables,Global,0.3866930421881538,0.8211818879508825,0.5257917264745057,0.004048385807888288,0.54627891056253,0.003915456891489145,0.0,0.0
CatBoost-no-ecoregion,ablation_no_ecoregion,CatBoost,full minus ecoregion categorical variables,Eastern Siberia,0.43778106373572767,0.9184763488662168,0.5929428282369459,0.0014751799720204705,0.6302041747524663,0.003880753966746449,0.0,0.0
