experiment_id,model,feature_set,split,region,region_display,threshold,precision,recall,f1
logistic_regression_full,Logistic Regression (linear SGD),full features,validation,global,Global,1.0,0.2878542043943851,0.9539651703323389,0.4422589801941185
logistic_regression_full,Logistic Regression (linear SGD),full features,test,global,Global,1.0,0.2436765139274209,0.9685543482651371,0.389387788242936
logistic_regression_full,Logistic Regression (linear SGD),full features,test,eastern_siberia,Eastern Siberia,1.0,0.3268160562009353,0.9879425592477692,0.4911555431887745
logistic_regression_full,Logistic Regression (linear SGD),full features,test,far_east,Far East,1.0,0.16432947583390062,0.9813008130081301,0.2815160349854227
logistic_regression_full,Logistic Regression (linear SGD),full features,test,central_asia,Central Asia,1.0,0.08384458077709611,0.9500599280862965,0.1540903936497651
logistic_regression_full,Logistic Regression (linear SGD),full features,test,europe,Europe,1.0,0.12616215135459363,0.8862359550561798,0.22088037105101951
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021,global,Global,1.0,0.395207266402551,0.9906345874374294,0.5650081735086224
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021,eastern_siberia,Eastern Siberia,1.0,0.5144443865046671,0.997069078781141,0.6787059491254321
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021,far_east,Far East,1.0,0.17978290366350066,0.9814814814814815,0.3038990825688073
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021,central_asia,Central Asia,1.0,0.13119975731836797,0.9579180509413068,0.2307897545357524
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021,europe,Europe,1.0,0.16105476673427993,0.9374262101534829,0.27488315734810453
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2022,global,Global,1.0,0.1461487194135009,0.935405240706886,0.25279973649538867
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2022,eastern_siberia,Eastern Siberia,1.0,0.13317191283292978,0.9821428571428571,0.2345415778251599
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2022,far_east,Far East,1.0,0.13389121338912133,1.0,0.23616236162361623
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2022,central_asia,Central Asia,1.0,0.10834553440702782,0.9541547277936963,0.1945945945945946
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2022,europe,Europe,1.0,0.09029649595687332,0.8769633507853403,0.16373411534701857
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2023,global,Global,1.0,0.18786791500812916,0.9715859669469411,0.31485483416329985
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2023,eastern_siberia,Eastern Siberia,1.0,0.10872230850976866,0.9561466570812365,0.19524368761009983
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2023,far_east,Far East,1.0,0.19320214669051877,0.972972972972973,0.32238805970149254
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2023,central_asia,Central Asia,1.0,0.06990220934444041,0.9391727493917275,0.13011966964436203
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2023,europe,Europe,1.0,0.1221058434399118,0.8967611336032388,0.21494420184376517
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2024,global,Global,1.0,0.21771567747724652,0.9297131596233852,0.352811649598039
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2024,eastern_siberia,Eastern Siberia,1.0,0.29542432152883813,0.9691387946356439,0.45281594443605616
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2024,far_east,Far East,1.0,0.17439812096300647,0.9966442953020134,0.29685157421289354
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2024,central_asia,Central Asia,1.0,0.03340969835815197,0.9358288770053476,0.06451612903225806
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2024,europe,Europe,1.0,0.10313075506445672,0.795131845841785,0.18258034466697717
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2025,global,Global,1.0,0.12684055532183425,0.9553736466860312,0.223948500510662
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2025,eastern_siberia,Eastern Siberia,1.0,0.18626842513576417,0.9832104832104832,0.3132011479259066
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2025,far_east,Far East,1.0,0.12204351939451277,0.9416058394160584,0.21608040201005024
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2025,central_asia,Central Asia,1.0,0.058823529411764705,0.9407894736842105,0.11072396438250097
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2025,europe,Europe,1.0,0.14224028448056897,0.8860759493670886,0.2451302254322609
logistic_regression_full,Logistic Regression (linear SGD),full features,test_2021-2023,global,Global,1.0,0.27728830341050614,0.9796135872981171,0.4322300596852957
