model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
Random Forest,full features,Central Asia,2021,10197,903,0.0885554574874963,0.1507181173213358,0.964562569213732,0.2607003891050584,0.0007483119858149,0.322191797882862,0.0126853255676233,0.8002547398969696,0.1078112688798197,0.142286792397499
Random Forest,full features,Central Asia,2021-2023,29340,2012,0.0685753237900477,0.1235237791254388,0.9617296222664016,0.2189285512247553,0.0009831998844811,0.3025368110043292,0.0032076292933888,0.8405144277048483,0.0927210709482804,0.142286792397499
Random Forest,full features,Central Asia,2021-2025,45961,2503,0.0544592154217706,0.1018340387328459,0.951658010387535,0.1839808449833938,0.001239396444362,0.2600870587929137,0.0220253749386936,0.8402359986369708,0.0849722003502684,0.142286792397499
Random Forest,full features,Central Asia,2022,9862,698,0.0707767187183127,0.1318296713980167,0.97134670487106,0.2321520287621982,0.0037145311706641,0.3250025495352026,0.0106715627115409,0.8649929210977552,0.0889203070145715,0.142286792397499
Random Forest,full features,Central Asia,2023,9281,411,0.0442840211184139,0.0813830908707569,0.9391727493917276,0.1497865735351183,0.004415690549429,0.262767348167273,0.0462710553802515,0.8622140021999304,0.0801802225059068,0.142286792397499
Random Forest,full features,Central Asia,2024,9003,187,0.0207708541597245,0.0453179769654481,0.9679144385026738,0.0865821573786175,0.0002094122951731,0.1765739128320115,0.0269543679654797,0.888543678484428,0.0656222945949254,0.142286792397499
Random Forest,full features,Central Asia,2025,7618,304,0.0399054870044631,0.0712754555198285,0.875,0.1318136769078295,0.001150150936828,0.1227326372224926,0.0024740330533495,0.7653990004749363,0.0779960042580765,0.142286792397499
Random Forest,full features,Eastern Siberia,2021,44639,19789,0.4433119021483456,0.5468413902411412,0.976350497751276,0.7010395312131492,0.0014991119672585,0.7004297287535156,0.005853755004404,0.7831094444782801,0.189597295760403,0.142286792397499
Random Forest,full features,Eastern Siberia,2021-2023,82438,22636,0.2745821101919018,0.4108884886687678,0.9675737762855628,0.5768238082696866,0.0016691192517372,0.5942075844283871,0.0018735238191761,0.831821199435075,0.1470705610558784,0.142286792397499
Random Forest,full features,Eastern Siberia,2021-2025,128260,31267,0.2437782629034773,0.3756322711178553,0.9500431765119774,0.5383925253971562,0.0001297240874716,0.5355128063639194,0.001038295376391,0.8219354830798014,0.1444817957661291,0.142286792397499
