model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
Random Forest,full features,Central Asia,2021,10197,903,0.08855545748749633,0.15071811732133586,0.964562569213732,0.2607003891050584,0.0007483119858149045,0.322191797882862,0.012685325567623399,0.8002547398969696,0.10781126887981972,0.14228679239749908
Random Forest,full features,Central Asia,2021-2023,29340,2012,0.06857532379004772,0.12352377912543888,0.9617296222664016,0.21892855122475532,0.0009831998844811202,0.3025368110043292,0.0032076292933888237,0.8405144277048483,0.09272107094828044,0.14228679239749908
Random Forest,full features,Central Asia,2021-2025,45961,2503,0.05445921542177063,0.10183403873284597,0.951658010387535,0.18398084498339384,0.0012393964443620327,0.2600870587929137,0.022025374938693686,0.8402359986369708,0.08497220035026846,0.14228679239749908
Random Forest,full features,Central Asia,2022,9862,698,0.07077671871831272,0.1318296713980167,0.9713467048710601,0.23215202876219826,0.0037145311706641313,0.32500254953520263,0.010671562711540942,0.8649929210977552,0.08892030701457156,0.14228679239749908
Random Forest,full features,Central Asia,2023,9281,411,0.044284021118413966,0.0813830908707569,0.9391727493917275,0.14978657353511834,0.004415690549429056,0.26276734816727304,0.046271055380251565,0.8622140021999304,0.08018022250590685,0.14228679239749908
Random Forest,full features,Central Asia,2024,9003,187,0.020770854159724537,0.045317976965448176,0.9679144385026738,0.08658215737861756,0.00020941229517314815,0.17657391283201154,0.026954367965479727,0.888543678484428,0.06562229459492541,0.14228679239749908
Random Forest,full features,Central Asia,2025,7618,304,0.039905487004463114,0.07127545551982852,0.875,0.13181367690782952,0.0011501509368280656,0.1227326372224926,0.0024740330533495115,0.7653990004749363,0.07799600425807655,0.14228679239749908
Random Forest,full features,Eastern Siberia,2021,44639,19789,0.4433119021483456,0.5468413902411412,0.9763504977512759,0.7010395312131492,0.0014991119672585547,0.7004297287535156,0.005853755004404015,0.7831094444782801,0.18959729576040305,0.14228679239749908
Random Forest,full features,Eastern Siberia,2021-2023,82438,22636,0.2745821101919018,0.4108884886687678,0.9675737762855628,0.5768238082696866,0.0016691192517372345,0.5942075844283871,0.0018735238191761136,0.831821199435075,0.14707056105587846,0.14228679239749908
Random Forest,full features,Eastern Siberia,2021-2025,128260,31267,0.24377826290347732,0.37563227111785535,0.9500431765119774,0.5383925253971562,0.00012972408747161985,0.5355128063639194,0.001038295376391098,0.8219354830798014,0.14448179576612918,0.14228679239749908
Random Forest,full features,Eastern Siberia,2022,18946,1456,0.07684999472184102,0.16433440975959812,0.9436813186813187,0.2799225832739126,0.0016929546704257592,0.1985030662435299,0.0008887356373430286,0.8218394223700828,0.09330868587913237,0.14228679239749908
Random Forest,full features,Eastern Siberia,2023,18853,1391,0.07378136105659577,0.12558526688169805,0.8677210639827462,0.2194146518814761,0.00013279662493964522,0.22398966013163446,0.00038891109567997493,0.8019762703789541,0.1004053924685638,0.14228679239749908
Random Forest,full features,Eastern Siberia,2024,26660,6189,0.23214553638409602,0.3267797017797018,0.8781709484569398,0.4763156741597651,0.00037089899778991643,0.3664127744522575,0.0022042540200939453,0.7236246359456325,0.17045278306704073,0.14228679239749908
Random Forest,full features,Eastern Siberia,2025,19162,2442,0.12743972445464982,0.2589676290463692,0.9696969696969697,0.40876920421198,0.0015202918088138761,0.4826943373694198,0.00743280339063487,0.9009435163741384,0.09721120008725177,0.14228679239749908
