model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Minimal MLP (global full),Neural,0,179372,179372.0,1e-12,1.4073971900394684e-08,4.290869373064218e-09,0.0,0.0007696618211852,0.0,
Minimal MLP (global full),Neural,1,179372,179372.0,1.4074307454028334e-08,9.802061147650529e-08,4.854934882456904e-08,0.0,0.0087083937973605,0.0,
Minimal MLP (global full),Neural,2,179372,179372.0,9.802070495628033e-08,2.545917114064196e-07,1.719211025504445e-07,5.575006132506746e-06,0.0308378320066783,1.0,0.0308378320066783
Minimal MLP (global full),Neural,3,179372,179372.0,2.5459183280520586e-07,4.6122537531918934e-07,3.531726180481792e-07,5.575006132506746e-06,0.0633492788445379,1.0,0.0633492788445379
Minimal MLP (global full),Neural,4,179373,179373.0,4.612286742704246e-07,7.301935261364279e-07,5.901262243688954e-07,0.0,0.1058527112437218,0.0,
Minimal MLP (global full),Neural,5,179372,179372.0,7.301952670542616e-07,1.0864139788528251e-06,8.9953326505361e-07,0.0,0.1613510808191961,0.0,
Minimal MLP (global full),Neural,6,179372,179372.0,1.0864165690658703e-06,1.5684673411479753e-06,1.3152017021275845e-06,0.0,0.235910359714029,0.0,
Minimal MLP (global full),Neural,7,179372,179372.0,1.5684677150991878e-06,2.22640639964579e-06,1.879648967516475e-06,0.0,0.3371563946013651,0.0,
Minimal MLP (global full),Neural,8,179372,179372.0,2.22640746127698e-06,3.1365162066668047e-06,2.657864514486849e-06,0.0,0.4767464736925351,0.0,
Minimal MLP (global full),Neural,9,179373,179373.0,3.1365236846896376e-06,4.391226220357523e-06,3.7282282157133886e-06,0.0,0.6687434797371576,0.0,
Minimal MLP (global full),Neural,10,179372,179372.0,4.391232502033927e-06,6.1688163930969e-06,5.225594342914298e-06,0.0,0.9373253084772236,0.0,
Minimal MLP (global full),Neural,11,179372,179372.0,6.168826688365056e-06,8.80682776394677e-06,7.395246336405575e-06,5.575006132506746e-06,1.3265001258537408,1.0,1.3265001258537408
Minimal MLP (global full),Neural,12,179372,179372.0,8.806833013180507e-06,1.289217187589133e-05,1.0707870148023796e-05,0.0001059251165176,1.920692084191324,19.0,0.1010890570627012
Minimal MLP (global full),Neural,13,179372,179372.0,1.2892273308181557e-05,1.8782294071474173e-05,1.5684101027192787e-05,7.247507972258769e-05,2.8132885694496244,13.0,0.2164068130345864
Minimal MLP (global full),Neural,14,179373,179373.0,1.8782316461306305e-05,2.664406703033336e-05,2.2528815242973123e-05,0.0001170744760917,4.041061176577818,21.0,0.1924314845989437
Minimal MLP (global full),Neural,15,179372,179372.0,2.6644167078794923e-05,3.700519091681661e-05,3.158253137723329e-05,0.0001895502085052,5.66502181819709,34.0,0.1666182887705026
Minimal MLP (global full),Neural,16,179372,179372.0,3.700535413154973e-05,5.081273517910559e-05,4.357112262402192e-05,0.000429275472203,7.81543940731606,77.0,0.1014992130820267
Minimal MLP (global full),Neural,17,179372,179372.0,5.0812851777303056e-05,7.126993315221786e-05,6.018673573869973e-05,0.0003791004170104,10.795815162922048,68.0,0.1587619876900301
Minimal MLP (global full),Neural,18,179372,179372.0,7.12701035920379e-05,0.0001096448261788,8.797370656972866e-05,0.0004069754476729,15.78001969482537,73.0,0.2161646533537722
Minimal MLP (global full),Neural,19,179373,179373.0,0.0001096451594452,0.0008776589196314,0.0001683018030842,0.0002731737775473,30.18879932463449,49.0,0.616097945400704
Minimal MLP full-grid optimized,Neural,0,179372,179372.0,3.5844387147726323e-10,8.650345503436389e-07,5.259740441124537e-07,0.0,0.094345016240539,0.0,
Minimal MLP full-grid optimized,Neural,1,179372,179372.0,8.650345503436389e-07,1.7542128045423452e-06,1.2877462695522411e-06,0.0,0.2309856238621246,0.0,
Minimal MLP full-grid optimized,Neural,2,179372,179372.0,1.7542190780964229e-06,2.776494204180784e-06,2.2570955060822668e-06,0.0,0.4048597351169883,0.0,
Minimal MLP full-grid optimized,Neural,3,179372,179372.0,2.776500161880861e-06,3.896922757728991e-06,3.332595448322164e-06,0.0,0.5977743107564432,0.0,
