experiment,status,reason,precision,recall,f1,f1_error,average_precision,average_precision_error,model,feature_set,region,region_display,period,support,positives,negatives,positive_rate,predicted_positives,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics
LSTM-MLP full current model,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Simple concatenation / one-hot categorical variables,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Learned categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal-only LSTM branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Static-only MLP branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Minimal MLP baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
FT-Transformer baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic + static without categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
FT-Transformer (global full),,,0.2989294697,0.8329563356,0.4399652235,0.0028406258,0.4234355108,0.0029444558,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,137969.0,0.8143480561,0.1217480281,0.1592247635,0.1592247635,legacy_sampled_case_control,0.0,1185561.0,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),,,0.3789336654,0.8564940672,0.5254122563,0.001951482,0.5020292125,0.005334378,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,70672.0,0.7802978604,0.1655258664,0.1592247635,0.1592247635,legacy_sampled_case_control,0.0,1185561.0,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),,,0.2169917479,0.9406504065,0.3526363913,0.0027274841,0.3927793698,0.0180135642,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,5332.0,0.8547410789000001,0.1182839151,0.1592247635,0.1592247635,legacy_sampled_case_control,0.0,1185561.0,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),,,0.1147462496,0.8617658809000001,0.202525703,0.0015450582,0.267286085,0.0090822759,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,18798.0,0.8312075902,0.0797604713,0.1592247635,0.1592247635,legacy_sampled_case_control,0.0,1185561.0,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),,,0.1719093943,0.8500702247,0.2859842892,0.0026223121,0.2798939504,0.0092537673,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,14083.0,0.8729766159000001,0.0588821765,0.1592247635,0.1592247635,legacy_sampled_case_control,0.0,1185561.0,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
LSTM attention (global full),,,0.3271813269,0.8399442582000001,0.4709246038,0.0022937606,0.4464965735,0.0032362593,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,127113.0,0.8399825372,0.116960317,0.2067688853,0.2067688853,legacy_sampled_case_control,0.0,1185561.0,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),,,0.4034249071,0.8853103911,0.5542740434,0.0008440012,0.5196162065000001,0.0035530954,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,68615.0,0.8061257486000001,0.1575162964,0.2067688853,0.2067688853,legacy_sampled_case_control,0.0,1185561.0,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),,,0.2452132289,0.9162601626,0.3868863714,0.0028996956,0.3890085438,0.0096275238,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,4596.0,0.8540750413,0.1129231015,0.2067688853,0.2067688853,legacy_sampled_case_control,0.0,1185561.0,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),,,0.1219526698,0.8194167,0.2123078516,0.0012142486,0.2473103799,0.0101776663,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,16818.0,0.8209585563,0.0867464984,0.2067688853,0.2067688853,legacy_sampled_case_control,0.0,1185561.0,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),,,0.2186541215,0.7507022472,0.3386662443,0.0031954826,0.3095481575,0.006882382,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,9778.0,0.8872711861,0.0519249101,0.2067688853,0.2067688853,legacy_sampled_case_control,0.0,1185561.0,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM gated MoE (global full),,,0.337275942,0.8379448237,0.4809626208,0.0021216406,0.4904584759,0.0095248928,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,123015.0,0.8499677015,0.114308621,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),,,0.4195290462,0.8894681293000001,0.5701428894,0.0030304897,0.5633756335,0.0058441147,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,66291.0,0.822202934,0.1528839923,0.2481723875,0.2481723875,legacy_sampled_case_control,0.0,1185561.0,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
