Split / Region,Years,Grid Cells,Cell-Days,Positives,Positive Rate
Global train,2001-2018,323012,1185561,170986,0.14422371
Global validation,2019-2020,91838,147424,28826,0.19553126
Global test,2021-2025,166873,321173,49514,0.15416613
Eastern Siberia,2021-2025,58062,128260,31267,0.24377826
Far East,2021-2025,6036,10457,1230,0.11762456
Central Asia,2021-2025,24303,45961,2503,0.05445922
Europe,2021-2025,23314,52062,2848,0.05470401
Global test 2021,2021,50904,87238,24772,0.28395883
Global test 2022,2022,44726,58312,4923,0.08442516
Global test 2023,2023,45100,60888,6898,0.11328998
Global test 2024,2024,46592,65063,9134,0.14038701
Global test 2025,2025,38926,49672,3787,0.07624014
