Model,Bin,Weight,Mean Prob,Observed,E/O
CatBoost,0,19295318.2251,0.0,0.0,
CatBoost,1,19295529.7946,0.0,3e-06,0.0135
CatBoost,2,19295430.5995,0.0,0.0,
CatBoost,3,19295301.5734,0.0,0.0,7.3866
CatBoost,4,19295524.4835,0.0,0.0,5.6824
CatBoost,5,19295348.1132,0.0,0.0,
CatBoost,6,19295412.9768,0.0,0.0,11.6297
CatBoost,7,19295431.4822,0.0,0.0,9.7945
CatBoost,8,19295421.5233,0.0,1e-06,5.3398
CatBoost,9,19295460.3293,0.0,3e-06,2.8387
CatBoost,10,19295467.4246,0.0,2e-06,5.6476
CatBoost,11,19295491.0315,0.0,3e-06,5.9303
CatBoost,12,19295384.9756,0.0,9e-06,3.8187
CatBoost,13,19295407.7401,0.0001,2.1e-05,2.5607
CatBoost,14,19295454.2106,0.0001,3.4e-05,2.4165
CatBoost,15,19295483.1703,0.0001,5.6e-05,2.2251
CatBoost,16,19295355.3199,0.0002,9.3e-05,2.0989
CatBoost,17,19295420.9798,0.0003,0.000119,2.5718
CatBoost,18,19295561.5613,0.0005,0.000127,4.0253
CatBoost,19,19295439.5194,0.0013,0.000503,2.6354
Logistic Regression (linear SGD),0,19295274.4844,0.0,3e-06,0.0
Logistic Regression (linear SGD),1,19295440.2045,0.0,3.4e-05,0.0
Logistic Regression (linear SGD),2,19295416.6701,0.0,1.7e-05,0.0
Logistic Regression (linear SGD),3,19295409.3529,0.0,3e-06,0.0
Logistic Regression (linear SGD),4,19295467.0913,0.0,1e-06,0.0
Logistic Regression (linear SGD),5,19295580.2533,0.0,3e-06,0.0
Logistic Regression (linear SGD),6,19295371.7078,0.0,6e-06,0.0
Logistic Regression (linear SGD),7,19295474.4942,0.0,1e-06,0.0
Logistic Regression (linear SGD),8,19295366.9985,0.0,3e-06,0.0
Logistic Regression (linear SGD),9,19295382.7818,0.0,6e-06,0.0
Logistic Regression (linear SGD),10,19295396.1797,0.0,2.1e-05,0.0
Logistic Regression (linear SGD),11,19295559.7621,0.0,1e-06,0.0
Logistic Regression (linear SGD),12,19295307.795,0.0,1e-06,0.0
Logistic Regression (linear SGD),13,19295421.0382,0.0,4e-06,0.0
Logistic Regression (linear SGD),14,19295581.6883,0.0,7e-06,0.0
Logistic Regression (linear SGD),15,19295369.9871,0.0,5e-06,0.0
Logistic Regression (linear SGD),16,19295342.5519,0.0,7e-06,0.0
Logistic Regression (linear SGD),17,19295532.3172,0.0,3e-06,0.0
Logistic Regression (linear SGD),18,19295420.5587,0.5388,0.000199,2701.5176
Logistic Regression (linear SGD),19,19295529.1173,1.0,0.00065,1537.6149
Poisson Point-Process GLM,0,19295268.0247,0.0,0.0,0.0
Poisson Point-Process GLM,1,19295538.3109,0.0,0.0,0.0
Poisson Point-Process GLM,2,19295369.7904,0.0,0.0,0.0
Poisson Point-Process GLM,3,19295433.4486,0.0,0.0,0.0
Poisson Point-Process GLM,4,19295359.8826,0.0,0.0,0.0
Poisson Point-Process GLM,5,19295588.3756,0.0,0.0,0.0
Poisson Point-Process GLM,6,19295400.5192,0.0,1e-06,0.0
Poisson Point-Process GLM,7,19295453.3981,0.0,3e-06,0.0
Poisson Point-Process GLM,8,19295281.0689,0.0,4e-06,0.0
Poisson Point-Process GLM,9,19295528.402,0.0,6e-06,0.0
Poisson Point-Process GLM,10,19295522.7858,0.0,8e-06,0.0
Poisson Point-Process GLM,11,19295359.6736,0.0,3e-06,0.0001
Poisson Point-Process GLM,12,19295324.5254,0.0,3e-06,0.0676
Poisson Point-Process GLM,13,19295503.6196,0.0,1e-06,0.9055
Poisson Point-Process GLM,14,19295417.1026,0.0,2e-06,3.7414
Poisson Point-Process GLM,15,19295537.9448,0.0,7e-06,3.307
Poisson Point-Process GLM,16,19295370.7229,0.0001,3e-05,2.7157
Poisson Point-Process GLM,17,19295345.055,0.0002,0.000183,1.2263
Poisson Point-Process GLM,18,19295531.6272,0.0007,0.000206,3.4069
Poisson Point-Process GLM,19,19295510.7562,0.0023,0.000518,4.4748
