Model,Feature Set,Precision,Recall,F1,PR-AUC
CatBoost,all features,0.3469,0.9413,0.507,0.5815
FT-Transformer (global full),global full NN features,0.2876,0.7997,0.423,0.3702
FWI-only CatBoost,fire-weather variables only,0.213,0.9109,0.3453,0.3106
LSTM attention (global full),global full NN features,0.3272,0.8399,0.4709,0.4465
LSTM gated MoE (global full),global full NN features,0.3373,0.8379,0.481,0.4905
LSTM static concat (global full),global full NN features,0.3751,0.7675,0.5039,0.4375
Logistic Regression (linear SGD),full features,0.2497,0.9624,0.3965,0.2487
Minimal MLP (global full),global full NN features,0.3651,0.8237,0.5059,0.4702
Poisson Point-Process GLM,full features,0.3201,0.8447,0.4643,0.4558
Random Forest,full features,0.3705,0.8553,0.517,0.5217
Spatial climate TSN-MLP (ECMWF global full),global full NN features,0.3024,0.8714,0.4489,0.4982
Spatial climate TSN-MLP (global full),global full NN features,0.5204,0.8222,0.6374,0.6915
Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,0.5186,0.7996,0.6292,0.6712
TemporalConvNet / TSN-MLP (global full),global full NN features,0.2482,0.9388,0.3927,0.4492
Weather-only CatBoost,meteorology/history features only,0.264,0.925,0.4108,0.4912
