Model,Precision,Recall,ROC-AUC,Brier,Threshold
CatBoost,0.3996,0.8216,0.8765,0.1445,0.4976
CatBoost deployment-weighted,0.1983,0.9508,0.6889,0.2227,0.4627
FT-Transformer (global full),0.2989,0.833,0.8143,0.1217,0.1592
FWI-only CatBoost,0.2064,0.9371,0.7254,0.2202,0.4647
LSTM attention (global full),0.3272,0.8399,0.84,0.117,0.2068
LSTM embedding fusion (global full),0.3495,0.8171,0.8441,0.1167,0.2341
LSTM gated MoE (global full),0.3373,0.8379,0.85,0.1143,0.2482
LSTM static concat (global full),0.3751,0.7675,0.8469,0.1141,0.3205
Logistic Regression (linear SGD),0.2512,0.959,0.7246,0.4743,1.0
Minimal MLP (global full),0.3672,0.8198,0.8519,0.1089,0.2954
Poisson Point-Process GLM,0.3163,0.848,0.8383,0.1223,0.3227
Random Forest,0.3244,0.8843,0.859,0.1055,0.2174
Spatial climate TSN embedding fusion (global full),0.5261,0.8071,0.9173,0.0916,0.4301
Spatial climate TSN-MLP (ECMWF global full),0.3024,0.8714,0.8457,0.1185,0.2851
Spatial climate TSN-MLP (global full),0.5204,0.8222,0.9152,0.0927,0.4269
Spatial climate TSN-MLP no tp (ERA5 global full),0.5186,0.7996,0.9072,0.0869,0.3871
TemporalConvNet / TSN-MLP (global full),0.2482,0.9388,0.8297,0.1211,0.1911
Weather-only CatBoost,0.288,0.7944,0.7776,0.2448,0.5005
