Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
2021,CatBoost,0.6674,0.001964,0.6811,0.0024
2021,CatBoost deployment-weighted,0.5157,0.001114,0.4281,0.0018
2021,FT-Transformer (global full),0.5991,0.001771,0.5813,0.0022
2021,FWI-only CatBoost,0.5217,0.001523,0.5025,0.0055
2021,LSTM attention (global full),0.6275,0.001837,0.5972,0.003
2021,LSTM embedding fusion (global full),0.6433,0.000516,0.6181,0.0025
2021,LSTM gated MoE (global full),0.6347,0.001952,0.6374,0.0053
2021,LSTM static concat (global full),0.6493,0.001927,0.5801,0.0014
2021,Logistic Regression (linear SGD),0.5747,0.001003,0.4049,0.0011
2021,Minimal MLP (global full),0.6515,0.001043,0.6111,0.0029
2021,Poisson Point-Process GLM,0.6248,0.001199,0.6092,0.003
2021,Random Forest,0.6173,0.002087,0.66,0.0036
2021,Spatial climate TSN embedding fusion (global full),0.7365,0.001436,0.7865,0.0026
2021,Spatial climate TSN-MLP (ECMWF global full),0.5994,0.001989,0.642,0.0042
2021,Spatial climate TSN-MLP (global full),0.7484,0.001968,0.8003,0.0035
2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.7355,0.001445,0.7772,0.0032
2021,TemporalConvNet / TSN-MLP (global full),0.5588,0.000967,0.5867,0.0023
2021,Weather-only CatBoost,0.5982,0.002814,0.5165,0.0037
2022,CatBoost,0.3509,0.003405,0.2812,0.0046
2022,CatBoost deployment-weighted,0.1927,0.00113,0.1133,0.0028
2022,FT-Transformer (global full),0.3181,0.001428,0.2432,0.0018
2022,FWI-only CatBoost,0.2121,0.00095,0.1459,0.0019
2022,LSTM attention (global full),0.3257,0.002678,0.2204,0.0019
2022,LSTM embedding fusion (global full),0.3474,0.002258,0.2524,0.0027
2022,LSTM gated MoE (global full),0.3213,0.001675,0.2583,0.0055
2022,LSTM static concat (global full),0.3291,0.005713,0.2453,0.0053
2022,Logistic Regression (linear SGD),0.2549,0.002076,0.1471,0.0013
2022,Minimal MLP (global full),0.3478,0.001145,0.2543,0.0031
2022,Poisson Point-Process GLM,0.3016,0.002393,0.2696,0.0058
2022,Random Forest,0.344,0.001008,0.3092,0.0076
2022,Spatial climate TSN embedding fusion (global full),0.5425,0.002582,0.5748,0.0045
2022,Spatial climate TSN-MLP (ECMWF global full),0.3023,0.003139,0.2888,0.0059
