Experiment,F1,F1 Error,PR-AUC,PR-AUC Error,Delta PR-AUC
CatBoost <=30d climate windows,0.5311,0.001299,0.545,0.008298,0.017
CatBoost dynamic weather+FWI only,0.4341,0.002068,0.4391,0.006878,0.1229
CatBoost no Gaussian-smoothed anthropogenic rasters,0.5355,0.002552,0.5595,0.007395,0.0026
CatBoost no anthropogenic,0.5276,0.003473,0.5335,0.006682,0.0285
CatBoost no fuel/ecoregion/vegetation,0.5271,0.002606,0.5504,0.008241,0.0116
CatBoost no history,0.4212,0.001105,0.5002,0.007294,0.0618
CatBoost no seasonality,0.5349,0.002463,0.5517,0.007145,0.0103
CatBoost no sine/cos seasonality,0.5377,0.003162,0.562,0.006996,0.0
CatBoost no temporal-history/weather lags,0.4679,0.004677,0.4578,0.007978,0.1043
CatBoost no terrain,0.5358,0.002854,0.556,0.007909,0.0061
CatBoost static only,0.4586,0.002664,0.462,0.007504,0.1
CatBoost-no-ecoregion,0.5377,0.003162,0.562,0.006996,0.0
CatBoost-no-geography,0.5377,0.003162,0.562,0.006996,0.0
FWI-only CatBoost,0.3383,0.001582,0.3127,0.005376,0.2493
Full CatBoost,0.5377,0.003162,0.562,0.006996,0.0
Weather-only CatBoost,0.4227,0.00126,0.3422,0.004429,0.2198
