Region,Year,Variant,F1,PR-AUC,PR-AUC Error,Delta PR-AUC
Central Asia,2021,Full neural feature set,0.3828,0.4134,0.0197,0.0
Central Asia,2022,Full neural feature set,0.3523,0.4778,0.0092,0.0
Central Asia,2023,Full neural feature set,0.2597,0.251,0.0145,0.0
Central Asia,2024,Full neural feature set,0.1864,0.2916,0.047,0.0
Central Asia,2025,Full neural feature set,0.1029,0.1053,0.0178,0.0
Eastern Siberia,2021,Full neural feature set,0.7996,0.8273,0.002,0.0
Eastern Siberia,2022,Full neural feature set,0.571,0.5479,0.0173,0.0
Eastern Siberia,2023,Full neural feature set,0.4683,0.5644,0.0158,0.0
Eastern Siberia,2024,Full neural feature set,0.6696,0.7074,0.0048,0.0
Eastern Siberia,2025,Full neural feature set,0.0276,0.3671,0.0062,0.0
Europe,2021,Full neural feature set,0.3251,0.3245,0.0166,0.0
Europe,2022,Full neural feature set,0.3785,0.3541,0.0276,0.0
Europe,2023,Full neural feature set,0.4387,0.445,0.0284,0.0
Europe,2024,Full neural feature set,0.3258,0.2723,0.0075,0.0
Europe,2025,Full neural feature set,0.1266,0.2213,0.0164,0.0
Far East,2021,Full neural feature set,0.6211,0.6517,0.0301,0.0
Far East,2022,Full neural feature set,0.613,0.6478,0.0215,0.0
Far East,2023,Full neural feature set,0.5672,0.5058,0.0382,0.0
Far East,2024,Full neural feature set,0.6332,0.6307,0.0118,0.0
Far East,2025,Full neural feature set,0.1032,0.251,0.0144,0.0
Global,2021,Full neural feature set,0.7365,0.7865,0.0024,0.0
Global,2022,Full neural feature set,0.5425,0.5748,0.0069,0.0
Global,2023,Full neural feature set,0.5732,0.5996,0.0037,0.0
Global,2024,Full neural feature set,0.6108,0.6418,0.0031,0.0
Global,2025,Full neural feature set,0.0573,0.1801,0.0038,0.0
