Region,Variant,F1,F1 Error,PR-AUC,PR-AUC Error
Central Asia,Alternative negative ratio,0.2198,0.0022,0.163,0.0071
Central Asia,"Main labels, no historical-fire features",0.1619,0.0018,0.0999,0.0022
Central Asia,Main/current labels,0.225,0.0035,0.1608,0.0073
Central Asia,No morphological expansion/dilation,0.1895,0.0065,0.0895,0.0031
Central Asia,Stricter MODIS thresholds,0.0979,0.0017,0.0625,0.0029
Eastern Siberia,Alternative negative ratio,0.5864,0.0014,0.6153,0.0031
Eastern Siberia,"Main labels, no historical-fire features",0.5174,0.0007,0.5715,0.0042
Eastern Siberia,Main/current labels,0.6005,0.002,0.6349,0.0018
Eastern Siberia,No morphological expansion/dilation,0.4146,0.003,0.3226,0.0033
Eastern Siberia,Stricter MODIS thresholds,0.3072,0.0018,0.277,0.0016
Europe,Alternative negative ratio,0.3147,0.0057,0.2214,0.005
Europe,"Main labels, no historical-fire features",0.285,0.003,0.1863,0.0027
Europe,Main/current labels,0.2962,0.0064,0.233,0.0038
Europe,No morphological expansion/dilation,0.2062,0.0072,0.1391,0.0044
Europe,Stricter MODIS thresholds,0.1695,0.0134,0.1007,0.0062
Far East,Alternative negative ratio,0.416,0.0037,0.3591,0.0116
Far East,"Main labels, no historical-fire features",0.368,0.0035,0.3516,0.0072
Far East,Main/current labels,0.4242,0.0052,0.3741,0.0133
Far East,No morphological expansion/dilation,0.2955,0.0112,0.2206,0.0111
Far East,Stricter MODIS thresholds,0.1781,0.0103,0.1154,0.0061
