Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Central Asia,2021,Alternative negative ratio,0.3726,0.2976,0.0074
Central Asia,2021,"Main labels, no historical-fire features",0.3628,0.2066,0.0054
Central Asia,2021,Main/current labels,0.3768,0.3312,0.014
Central Asia,2021,No morphological expansion/dilation,0.2571,0.1688,0.0046
Central Asia,2021,Stricter MODIS thresholds,0.1636,0.1073,0.0242
Central Asia,2022,Alternative negative ratio,0.3155,0.24,0.0122
Central Asia,2022,"Main labels, no historical-fire features",0.3125,0.1837,0.0031
Central Asia,2022,Main/current labels,0.3263,0.2606,0.0149
Central Asia,2022,No morphological expansion/dilation,0.214,0.1528,0.006
Central Asia,2022,Stricter MODIS thresholds,0.1674,0.1355,0.01
Central Asia,2023,Alternative negative ratio,0.2314,0.2618,0.018
Central Asia,2023,"Main labels, no historical-fire features",0.2116,0.1184,0.0036
Central Asia,2023,Main/current labels,0.2369,0.2616,0.0185
Central Asia,2023,No morphological expansion/dilation,0.1532,0.1477,0.0077
Central Asia,2023,Stricter MODIS thresholds,0.1365,0.1018,0.0146
Central Asia,2024,Alternative negative ratio,0.0736,0.0905,0.0238
Central Asia,2024,"Main labels, no historical-fire features",0.0774,0.0393,0.0009
Central Asia,2024,Main/current labels,0.0784,0.0976,0.0268
Central Asia,2024,No morphological expansion/dilation,0.0481,0.0554,0.0089
Central Asia,2024,Stricter MODIS thresholds,0.0541,0.0613,0.027
Central Asia,2025,Alternative negative ratio,0.117,0.0916,0.0058
Central Asia,2025,"Main labels, no historical-fire features",0.1173,0.0643,0.0026
Central Asia,2025,Main/current labels,0.1216,0.0758,0.0035
Central Asia,2025,No morphological expansion/dilation,0.0815,0.0545,0.0066
Central Asia,2025,Stricter MODIS thresholds,0.0323,0.0207,0.0059
Eastern Siberia,2021,Alternative negative ratio,0.7425,0.7094,0.0038
Eastern Siberia,2021,"Main labels, no historical-fire features",0.7425,0.6436,0.0028
Eastern Siberia,2021,Main/current labels,0.7437,0.7402,0.0036
Eastern Siberia,2021,No morphological expansion/dilation,0.5375,0.4045,0.002
Eastern Siberia,2021,Stricter MODIS thresholds,0.4124,0.3258,0.007
Eastern Siberia,2022,Alternative negative ratio,0.3546,0.2677,0.0104
Eastern Siberia,2022,"Main labels, no historical-fire features",0.3055,0.1902,0.004
Eastern Siberia,2022,Main/current labels,0.3507,0.3034,0.0097
Eastern Siberia,2022,No morphological expansion/dilation,0.2137,0.1439,0.0043
Eastern Siberia,2022,Stricter MODIS thresholds,0.1585,0.1272,0.0072
Eastern Siberia,2023,Alternative negative ratio,0.296,0.3973,0.0152
Eastern Siberia,2023,"Main labels, no historical-fire features",0.2924,0.2419,0.0018
