Region,Period,Lead Days,F1,PR-AUC,PR-AUC Error
Central Asia,2021-2023,7,0.4441,0.3883,0.009
Central Asia,2021-2023,14,0.2532,0.2067,0.0082
Central Asia,2021-2023,30,0.2625,0.1865,0.0061
Central Asia,2021-2025,7,0.4182,0.3473,0.0199
Central Asia,2021-2025,14,0.2165,0.1814,0.0039
Central Asia,2021-2025,30,0.225,0.1608,0.002
Eastern Siberia,2021-2023,7,0.8928,0.9586,0.0004
Eastern Siberia,2021-2023,14,0.637,0.6246,0.003
Eastern Siberia,2021-2023,30,0.6361,0.6742,0.0028
Eastern Siberia,2021-2025,7,0.8794,0.9444,0.0019
Eastern Siberia,2021-2025,14,0.5867,0.5792,0.0054
Eastern Siberia,2021-2025,30,0.6005,0.6349,0.0056
Europe,2021-2023,7,0.383,0.3156,0.0119
Europe,2021-2023,14,0.2301,0.259,0.0076
Europe,2021-2023,30,0.3063,0.2408,0.0045
Europe,2021-2025,7,0.3616,0.2802,0.0107
Europe,2021-2025,14,0.2366,0.2416,0.0074
Europe,2021-2025,30,0.2962,0.233,0.0046
Far East,2021-2023,7,0.7113,0.7665,0.017
Far East,2021-2023,14,0.4586,0.3571,0.0105
Far East,2021-2023,30,0.457,0.3918,0.0122
Far East,2021-2025,7,0.7205,0.7686,0.0129
Far East,2021-2025,14,0.443,0.3577,0.0114
Far East,2021-2025,30,0.4242,0.3741,0.0123
Global,2021-2023,7,0.832,0.9161,0.0025
Global,2021-2023,14,0.5519,0.5396,0.0034
Global,2021-2023,30,0.5656,0.5861,0.0054
Global,2021-2025,7,0.8191,0.9001,0.0029
Global,2021-2025,14,0.5106,0.4971,0.0069
Global,2021-2025,30,0.5335,0.5503,0.0057
