Rank,Model,Feature,Type,PR-AUC Drop,F1 Drop
1,LSTM gated MoE (global full),t2m_mean_7,dynamic_sequence,0.1487,0.1297
2,LSTM gated MoE (global full),d2m_mean_7,dynamic_sequence,0.1202,0.0783
3,LSTM gated MoE (global full),t2m_mean_14,dynamic_sequence,0.1062,0.0978
4,LSTM gated MoE (global full),d2m_mean_14,dynamic_sequence,0.075,0.0428
5,LSTM gated MoE (global full),t2m_mean_30,dynamic_sequence,0.0734,0.0652
6,LSTM gated MoE (global full),ecoregion_name,categorical,0.0539,0.0492
7,LSTM gated MoE (global full),stl1_mean_7,dynamic_sequence,0.0494,0.0508
8,LSTM gated MoE (global full),t2m_mean_90,dynamic_sequence,0.0484,0.0351
9,LSTM gated MoE (global full),stl1_mean_14,dynamic_sequence,0.0472,0.0478
10,LSTM gated MoE (global full),stl1_mean_30,dynamic_sequence,0.0342,0.0354
11,LSTM gated MoE (global full),d2m_mean_30,dynamic_sequence,0.0332,0.0162
12,LSTM gated MoE (global full),t2m_mean_120,dynamic_sequence,0.0331,0.018
13,LSTM gated MoE (global full),lsm,static,0.024,0.0059
14,LSTM gated MoE (global full),fire_index_drtcode_std,static,0.0213,0.0127
15,LSTM gated MoE (global full),t2m_lag_120,dynamic_sequence,0.0173,0.0139
16,LSTM gated MoE (global full),road_density_gaussian_5km,static,0.0159,0.0103
17,LSTM gated MoE (global full),road_density_gaussian_10km,static,0.0131,0.008
18,LSTM gated MoE (global full),tp_mean_7,dynamic_sequence,0.0113,0.0122
19,LSTM gated MoE (global full),stl1_mean_90,dynamic_sequence,0.011,0.0119
20,LSTM gated MoE (global full),fire_index_fbupinx_max_trend,static,0.0107,0.0071
21,LSTM gated MoE (global full),tvh,categorical,0.0094,0.0009
22,LSTM gated MoE (global full),population,static,0.0093,0.0101
23,LSTM gated MoE (global full),fire_index_drtcode_median,static,0.0092,0.0064
24,LSTM gated MoE (global full),fire_index_fbupinx_mean_trend,static,0.0085,0.0043
25,LSTM gated MoE (global full),tp_mean_120,dynamic_sequence,0.0083,0.0119
26,LSTM gated MoE (global full),sdfor,static,0.0081,0.0019
27,LSTM gated MoE (global full),fire_index_drtcode_mean,static,0.008,0.0066
28,LSTM gated MoE (global full),fire_index_drtcode_min,static,0.008,0.0122
29,LSTM gated MoE (global full),t2m_lag_14,dynamic_sequence,0.0077,0.01
30,LSTM gated MoE (global full),light_density_gaussian_5km,static,0.0074,0.0035
