Region,Feature Source,Period Start,Period End,Fire Locations,PR-AUC,First-Quarter Fire Fraction,Middle-Half Fire Fraction
Eastern Siberia,ECMWF,2021-11-02,2021-11-29,1,1.0,1.0,0.0
Eastern Siberia,ERA5,2021-11-02,2021-11-29,1,1.0,1.0,0.0
Eastern Siberia,ERA5,2021-09-10,2021-10-07,269,0.9312,0.9483,0.0447
Eastern Siberia,ECMWF,2021-09-10,2021-10-07,269,0.9312,0.9483,0.0447
Eastern Siberia,ECMWF,2021-09-11,2021-10-08,231,0.9308,0.9336,0.0572
Eastern Siberia,ERA5,2021-09-11,2021-10-08,231,0.9308,0.9336,0.0572
Eastern Siberia,ERA5,2021-09-09,2021-10-06,281,0.9224,0.9489,0.0404
Eastern Siberia,ECMWF,2021-09-09,2021-10-06,281,0.9224,0.9489,0.0404
Eastern Siberia,ECMWF,2021-08-07,2021-09-03,1582,0.9101,0.9074,0.0614
Eastern Siberia,ERA5,2021-08-07,2021-09-03,1582,0.9101,0.9074,0.0614
Eastern Siberia,ERA5,2021-09-08,2021-10-05,294,0.9045,0.9517,0.0372
Eastern Siberia,ECMWF,2021-09-08,2021-10-05,294,0.9045,0.9517,0.0372
Eastern Siberia,ECMWF,2021-08-06,2021-09-02,1717,0.9026,0.9031,0.07
Eastern Siberia,ERA5,2021-08-06,2021-09-02,1717,0.9026,0.9031,0.07
Eastern Siberia,ERA5,2021-08-05,2021-09-01,1834,0.8983,0.892,0.0844
Eastern Siberia,ECMWF,2021-08-05,2021-09-01,1834,0.8983,0.892,0.0844
Eastern Siberia,ECMWF,2021-09-12,2021-10-09,182,0.8913,0.9003,0.0903
Eastern Siberia,ERA5,2021-09-12,2021-10-09,182,0.8913,0.9003,0.0903
Eastern Siberia,ERA5,2021-08-04,2021-08-31,1953,0.8872,0.8813,0.0932
Eastern Siberia,ECMWF,2021-08-04,2021-08-31,1953,0.8872,0.8813,0.0932
Global,ECMWF,2021-08-07,2021-09-03,1977,0.8777,0.8651,0.1013
Global,ERA5,2021-08-07,2021-09-03,1977,0.8777,0.8651,0.1013
Eastern Siberia,ERA5,2021-08-03,2021-08-30,1988,0.8751,0.7692,0.2137
Eastern Siberia,ECMWF,2021-08-03,2021-08-30,1988,0.8751,0.7692,0.2137
Eastern Siberia,ECMWF,2021-08-08,2021-09-04,1345,0.8744,0.8978,0.0668
Eastern Siberia,ERA5,2021-08-08,2021-09-04,1345,0.8744,0.8978,0.0668
Eastern Siberia,ERA5,2021-08-02,2021-08-29,2158,0.873,0.7228,0.2627
Eastern Siberia,ECMWF,2021-08-02,2021-08-29,2158,0.873,0.7228,0.2627
Global,ECMWF,2021-08-06,2021-09-02,2164,0.8717,0.8668,0.1035
Global,ERA5,2021-08-06,2021-09-02,2164,0.8717,0.8668,0.1035
Eastern Siberia,ERA5,2022-08-17,2022-09-13,12,0.8703,0.0,0.0
Eastern Siberia,ECMWF,2022-08-17,2022-09-13,12,0.8703,0.0,0.0
Global,ERA5,2021-08-05,2021-09-01,2310,0.8697,0.8602,0.1136
Global,ECMWF,2021-08-05,2021-09-01,2310,0.8697,0.8602,0.1136
Eastern Siberia,ECMWF,2023-10-29,2023-11-25,6,0.868,0.8571,0.1429
Eastern Siberia,ERA5,2023-10-29,2023-11-25,6,0.868,0.8571,0.1429
Global,ERA5,2021-09-10,2021-10-07,330,0.864,0.8832,0.0952
Global,ECMWF,2021-09-10,2021-10-07,330,0.864,0.8832,0.0952
Eastern Siberia,ECMWF,2021-08-01,2021-08-28,2307,0.8633,0.6132,0.3768
Eastern Siberia,ERA5,2021-08-01,2021-08-28,2307,0.8633,0.6132,0.3768
Global,ERA5,2021-08-04,2021-08-31,2441,0.8597,0.8485,0.123
Global,ECMWF,2021-08-04,2021-08-31,2441,0.8597,0.8485,0.123
Eastern Siberia,ECMWF,2021-07-30,2021-08-26,2590,0.8579,0.4907,0.5014
Eastern Siberia,ERA5,2021-07-30,2021-08-26,2590,0.8579,0.4907,0.5014
Eastern Siberia,ERA5,2021-09-07,2021-10-04,295,0.8578,0.898,0.0934
Eastern Siberia,ECMWF,2021-09-07,2021-10-04,295,0.8578,0.898,0.0934
Eastern Siberia,ECMWF,2021-07-31,2021-08-27,2443,0.8569,0.4919,0.4995
Eastern Siberia,ERA5,2021-07-31,2021-08-27,2443,0.8569,0.4919,0.4995
Global,ERA5,2021-09-09,2021-10-06,346,0.8566,0.8851,0.0929
Global,ECMWF,2021-09-09,2021-10-06,346,0.8566,0.8851,0.0929
