region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-11-02,2021-11-29,28,1,1.0,0.0103,0.0,1.0,0.0,0.0
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-11-01,2021-11-28,28,2,1.0,0.0115,0.0,1.0,0.0,0.0111
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-05,2021-09-01,28,1834,0.7788,0.1964,2.0,0.892,0.0844,0.1703
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-10,2021-10-07,28,269,0.774,0.1774,1.0,0.9483,0.0447,0.0895
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-07,2021-09-03,28,1582,0.7697,0.199,0.0,0.9074,0.0614,0.0873
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-06,2021-09-02,28,1717,0.7684,0.1984,1.0,0.9031,0.07,0.1288
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-14,2021-08-10,28,2947,0.7657,0.2135,24.0,0.1298,0.4575,0.5091
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-04,2021-08-31,28,1953,0.7642,0.1971,3.0,0.8813,0.0932,0.2123
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-13,2021-08-09,28,2870,0.764,0.2104,25.0,0.1435,0.451,0.4758
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-08,2021-10-05,28,294,0.7632,0.184,3.0,0.9517,0.0372,0.1742
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-09,2021-10-06,28,281,0.7627,0.1791,2.0,0.9489,0.0404,0.1342
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-15,2021-08-11,28,2911,0.7604,0.2152,23.0,0.1105,0.4983,0.5552
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-02,2021-08-29,28,2158,0.7598,0.1981,5.0,0.7228,0.2627,0.3344
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-11,2021-10-08,28,231,0.7593,0.162,0.0,0.9336,0.0572,0.0611
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-07,2021-10-04,28,295,0.7583,0.1828,4.0,0.898,0.0934,0.2392
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-16,2021-08-12,28,2929,0.7582,0.2161,22.0,0.112,0.5392,0.6076
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-12,2021-08-08,28,2801,0.7579,0.2102,26.0,0.1363,0.3933,0.4287
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-01,2021-08-28,28,2307,0.7568,0.2015,6.0,0.6132,0.3768,0.4111
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-06,2021-10-03,28,296,0.7561,0.1819,5.0,0.8034,0.1894,0.3178
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-03,2021-08-30,28,1988,0.755,0.1962,4.0,0.7692,0.2137,0.289
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-29,2021-08-25,28,2669,0.7544,0.2162,9.0,0.4588,0.5338,0.5745
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-03,2021-09-30,28,306,0.7537,0.1788,8.0,0.1566,0.8209,0.6813
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-31,2021-08-27,28,2443,0.7536,0.2053,7.0,0.4919,0.4995,0.4924
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-30,2021-08-26,28,2590,0.7535,0.2136,8.0,0.4907,0.5014,0.5252
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-05,2021-10-02,28,300,0.7526,0.1821,6.0,0.6196,0.3732,0.4291
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-04,2021-10-01,28,300,0.7516,0.1797,7.0,0.3577,0.6268,0.5657
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-28,2021-08-24,28,2686,0.7516,0.2191,10.0,0.4322,0.5637,0.625
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-17,2021-08-13,28,2895,0.7513,0.2176,21.0,0.0892,0.589,0.6583
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-02,2021-09-29,28,306,0.7506,0.1773,9.0,0.126,0.8549,0.7391
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-27,2021-08-23,28,2714,0.749,0.2222,11.0,0.4113,0.5853,0.6736
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-26,2021-08-22,28,2782,0.7488,0.2235,12.0,0.3377,0.6577,0.7379
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-25,2021-08-21,28,2786,0.7487,0.2226,13.0,0.3079,0.6804,0.7904
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-09-01,2021-09-28,28,313,0.7479,0.1796,10.0,0.0612,0.9212,0.8071
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-24,2021-08-20,28,2785,0.7475,0.2218,14.0,0.2766,0.7062,0.8187
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-23,2021-08-19,28,2785,0.7438,0.2215,15.0,0.1947,0.7819,0.8423
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-18,2021-08-14,28,2862,0.7425,0.2197,20.0,0.0696,0.6935,0.7163
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-22,2021-08-18,28,2790,0.7418,0.2215,16.0,0.147,0.8192,0.8514
Global,Spatial climate TSN-MLP (ECMWF global full),2021-08-05,2021-09-01,28,2310,0.7402,0.1725,2.0,0.8602,0.1136,0.1902
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-07-21,2021-08-17,28,2808,0.7402,0.2213,17.0,0.1208,0.8349,0.8528
